category,name,description,price,calories
Kids Meals,Kids Spaghetti:Kids Spaghetti with Meatballs & Kids Original Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Spaghetti:Kids Spaghetti with Meatballs & Kids Strawberry Lemon Ice,Kids Spaghetti with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Alfredo with Chicken & Kids Soft Drink,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Alfredo with Chicken & Milk,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini Garlic Butter & Kids Strawberry Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini No Sauce & Kids Soft Drink,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Alfredo with Chicken & Chocolate Milk,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini No Sauce & Milk,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini No Sauce & Chocolate Milk,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Alfredo with Chicken & Apple Juice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini No Sauce & Apple Juice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini No Sauce & Bottled Water,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Alfredo with Chicken & Bottled Water,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Fettuccine:Kids Fettuccine Alfredo with Chicken & Kids Blue Raspberry Lemon Ice,Kids Fettuccine with choice of sauce and drink.,,160-260 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini No Sauce & Kids Blue Raspberry Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
Kids Meals,Kids Whole Grain Rotini:Kids Whole Grain Rotini No Sauce & Kids Original Lemon Ice,Kids Whole Grain Rotini with choice of sauce and drink.,,160-250 Calories
